title,videoIDS,video_description,publishedDate
5Embedded system Application,gFwiuAYW6CE,"Ms.Shweta S.Patil
Department-Electronics and Telecommunication Engineering 
Walchand Institute of Technology ,Solapur",2021-05-27T08:41:28Z
4Bus types and Compiler in Embedded system,jRvsFwJtxtw,"Ms.Shweta S.Patil
Department-Electronics and Telecommunication Engineering 
Walchand Institute of Technology ,Solapur",2021-05-27T08:36:38Z
3Design challenges of ES,BPtiDbAMwhI,"Ms.Shweta S.Patil
Department-Electronics and Telecommunication Engineering 
Walchand Institute of Technology ,Solapur",2021-05-27T08:32:29Z
2Characteristics of embedded system,bLg78aZ0rW0,"Ms.Shweta S.Patil
Department-Electronics and Telecommunication Engineering 
Walchand Institute of Technology ,Solapur",2021-05-27T08:24:49Z
1Introduction to Embedded System,VxtWWU2-2aM,"Ms.Shweta S.Patil
Department-Electronics and Telecommunication Engineering 
Walchand Institute of Technology ,Solapur",2021-05-27T08:18:53Z
Data Structure Tree Gate 2020,FizDMv12jSE,"Mrs. S. K. Karpe Assistant Professor, Information Tevhnolog,  Walchand Institute of Technology, Solapur",2021-05-24T06:48:26Z
Data Structure Tree Gate 2019,C6Exg47V0zQ,"Mrs. S. K. Karpe Assistant Professor, Information Tevhnolog,  Walchand Institute of Technology, Solapur",2021-05-24T06:46:14Z
Data Structure Tree Gate 2016 que,wdFF20nY4DE,"Mrs. S. K. Karpe
Assistant Professor, Information Tevhnolog, 
Walchand Institute  of Technology, Solapur",2021-05-24T06:43:05Z
Data Structure Binary Tree Gate 2020,TLpkeUcj82E,"Mrs. S. K. Karpe
Assistant Professor, IT Deptt.
Walchand Institute of Technology, Solapur",2021-05-24T06:38:17Z
Position Control System,tI4moR2ZfAo,"Mrs. Priyanka A. Bansode
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-05-20T10:26:19Z
Applications of Closed Loop Control System,jOCs71LCZpE,"Mrs. Priyanka A. Bansode
Assistant Professor
Electronics and Telecommunication Engineering
Walchand Institute of Technology, Solapur",2021-05-20T10:14:04Z
5  Technologies and Tools for Protecting Information Resources II,6v3V2hQ5H6I,"Mr.D.P.Pandit, Assistant Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-05T07:09:29Z
4  Technologies and Tools for Protecting Information Resources I,Oq-JPNVLFxM,"Mr.D.P.Pandit,Assistant Professor,Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-05T07:01:29Z
3  Business Value of Security and Control,DPKvNpU4gQ8,"Mr.D.P.Pandit, Assistant Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-05T06:08:48Z
2 SYSTEM VULNERABILITY AND ABUSE II,LIjn6Dk7l0o,"Mr.D.P.Pandit, Assistant Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",2021-05-05T05:59:29Z
