vid,vtitle,desc,pid,ptitle
5uS2PyFn-Bw,Analysis of water pipe networks by Hardy Cross method,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",PLM-jfaoaU5ix8qqG7GXuQ2QxbEVb6Un4t,Water Supply Engineering
mfnw8FuOcGc,Design of Rapid sand Filter- Part 1,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",PLM-jfaoaU5ix8qqG7GXuQ2QxbEVb6Un4t,Water Supply Engineering
ZF8PEXCHHfg,Design of rapid sand filter   part 2,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",PLM-jfaoaU5ix8qqG7GXuQ2QxbEVb6Un4t,Water Supply Engineering
sz_rolaLlrY,Design of Tube Settlers,"Mr. Mayur A. Ubale,
Assistant Professor,
Civil Engineering Department,
Walchand Institute of Technology,
Solapur.",PLM-jfaoaU5ix8qqG7GXuQ2QxbEVb6Un4t,Water Supply Engineering
QjzOfDzi4B4,Public private Partnership,"Mr. S.K.Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy6SJwqtg1sXiENrr0ue7tu,Infrastructure Planning and Management
U871AFsGa78,Project Life Cycle,"Mr. S. K. Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy6SJwqtg1sXiENrr0ue7tu,Infrastructure Planning and Management
wPp8t_V-Ukg,"Simulation of Clipper, Clamper Circuit.","Mr.N.V.Kale,Assistant Professor, Electronics & Telecommunication Engineering Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy6SJwqtg1sXiENrr0ue7tu,Infrastructure Planning and Management
8k73sgHxgkE,Risks in Infrastructure projects,"Mr. S. K. Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy6SJwqtg1sXiENrr0ue7tu,Infrastructure Planning and Management
eqR2bTHLjNI,Infrastructure Planning & Management,"Mr. S.K.Kulkarni
Assistant Professor, 
Civil Engineering Department
Walchand Institute of Technology, Solapur",PLM-jfaoaU5iy6SJwqtg1sXiENrr0ue7tu,Infrastructure Planning and Management
oMvSz_2EOqE,Introduction to Pile Foundation,"Mr. Prashant. V. Dhanshetti
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iylgEgYX-gMZ3OYP2zXlt66,Foundation Engineering
nsiRsFCFSmo,Load carrying capacity of pile using Static Method,"Mr. Prashant. V. Dhanshetti
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iylgEgYX-gMZ3OYP2zXlt66,Foundation Engineering
88e5Dsnvgag,Load carrying capacity of pile using Dynamic Formula,"Mr. Prashant. V. Dhanshetti
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iylgEgYX-gMZ3OYP2zXlt66,Foundation Engineering
eRNiJvoHfIo,Load carrying capacity of pile by Penetration Test,"Mr. Prashant. V. Dhanshetti
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iylgEgYX-gMZ3OYP2zXlt66,Foundation Engineering
uVL8lFOORQE,Load carrying capacity of pile-by-Pile Load Test,"Mr. Prashant. V. Dhanshetti
Assistant Professor,
Walchand Institute of Technology,
Solapur",PLM-jfaoaU5iylgEgYX-gMZ3OYP2zXlt66,Foundation Engineering
Ju1uZ17JEuE,Gated Spillways and Ungated Spillways,"Dr. Satishkumar S. Kashid 
Professor, Dept of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izNNcRnPfW1R5wBTEc2Mt05,Hydraulic Structures and Water Power Engineering
qpXxmjUbNPo,Spillways Straight Drop Spillway Ogee Spillway & Shaft Spillway,"Dr. Satishkumar S. Kashid 
Professor, Dept of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izNNcRnPfW1R5wBTEc2Mt05,Hydraulic Structures and Water Power Engineering
DABVAk_3wac,"Spillways Chute Spillway, Side Channel Spillway, Siphon Spillway, Labyrinth Spillway","Dr. Satishkumar S. Kashid 
Professor, Dept of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izNNcRnPfW1R5wBTEc2Mt05,Hydraulic Structures and Water Power Engineering
gNnilUgpKlA,Kolhapur Type Weirs,"Dr. Satishkumar S. Kashid 
Professor, Dept of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izNNcRnPfW1R5wBTEc2Mt05,Hydraulic Structures and Water Power Engineering
LTlnwFvHShY,Types of Spillway gates,"Dr. Satishkumar S. Kashid 
Professor, Dept of Civil Engineering
Walchand Institute of Technology, Solapur",PLM-jfaoaU5izNNcRnPfW1R5wBTEc2Mt05,Hydraulic Structures and Water Power Engineering
QMo8ZK33LUo,Matrix in Numpy Part II,"""Vinit Tribhuvan
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.""",PLM-jfaoaU5iws3iNpg489hHa7jKa8u-AS,Data Science
ncRtW0RQt7g,Matrix in Numpy Part I,"""Vinit Tribhuvan
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.""",PLM-jfaoaU5iws3iNpg489hHa7jKa8u-AS,Data Science
SFcH14mtgDw,Reading and Writing data to file using Numpy,"""Vinit Tribhuvan
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.""",PLM-jfaoaU5iws3iNpg489hHa7jKa8u-AS,Data Science
fcw8qXzCdVg,Handling missing data using Pandas,"""Vinit Tribhuvan
Assistant Professor,
Dept of Computer Science and Engineering,
Walchand Institute of Technology, Solapur.""",PLM-jfaoaU5iws3iNpg489hHa7jKa8u-AS,Data Science
QEwo6Bu057U,Statistical Modeling,"Dr. R.V. Argiddi,Professor, Computer Science and Engineering, Walchand Institute of Technology, Solapur",PLM-jfaoaU5iws3iNpg489hHa7jKa8u-AS,Data Science
